Nom_master,Catégorie,Site,Chronologie,Divinités,Épithètes,Roi,Dynastie,"Lexique ""Désert""",Titres de particuliers,Iconographie,Type de sacralisation,Type d'écriture,Répertoire textuel ,Bibliographie ,Détails Techniques,Commentaire,Nom_branch,Conservation,"Dimensions (H, l, ép.)",Matière,Technique,Type de cintrage
Stèle SA 550,Stèle,Gebel Zeit (site 1),Moyen Empire,Min,  • Min de Coptos ; Celui de Béhédet ; Le grand dieu ; Seigneur du ciel ; Seigneur de Mésen,Ny-mȝʿ.t-Rʿ (Amenemhat III),XIIe dynastie,,,"À droite le dieu Min tourné vers la gauche se tient devant la chapelle sénet. Face à lui le roi, tourné vers la droite, portant une couronne composée d’un mortier fiché de deux hautes plumes, présentant de la main gauche un pot à onguent et de la main droite un signe ankh. Entre le roi et Min se trouve une table chargée d’offrandes.",Active,Hiéroglyphes,"Texte commémoratif, Titulature royale",Gebel Zeit II - Le matériel inscrit,SA 550 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20550%2094648c838b144373902acc6278d0dd6d.md),,SA 550,"complète en deux morceaux, décor très effacé, partie inférieure presque illisible","H. 44cm, l. 22cm, é. 9cm",Calcaire fin,décor et texte au trait rouge,stèle cintrée
Stèle SA 49 (JE 98124),Stèle,"Gebel Zeit (site 1, niveau antérieur au sanctuaire)",Moyen Empire,,,Ny-mȝʿ.t-Rʿ (Amenemhat III),XIIe dynastie,,,"  • Face 1 : le roi tourné vers la gauche coiffé de la coiffure khat ornée d’un uraeus, présente un vase probablement à onguent. 
  • Face 2 : Le roi tourné vers la gauche présente un vase (à aiguière ?) à une divinité masculine anthropomorphe trouné vers la droite, barbue, vêtue d’un costume à bretelles et tenant un sceptre ouas. ",,Hiéroglyphes,,Gebel Zeit II - Le matériel inscrit,SA 49 (JE 98124) (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%2049%20(JE%2098124)%2045d88f3449004d639e122a2f805167c9.md),,SA 49 (JE 98124),Fragment de la partie supérieure. Peinture et glaçures fondues en plusieurs endroits sur la face 2 (représentant la divinité),H. 8 cm (conservée) ; l. 11 cm ; ép. 3 cm,Faience bleue,Stèle probablement cintrée. Traits noirs sur fond bleu. Inscription recto verso,Probablement cintrée
Stèle SA 557 (JE 981237) + SA 556,Stèle,"Gebel Zeit (site 1, dépôt du sanctuaire)",Moyen Empire,"Horus, Ptah","  • Horus, celui de Béhédet ; Seigneur des contrées désertiques ;
  • Ptah, celui qui est au sud de son mur ; Seigneur de Maât",Nb-nnw Smn-kȝ-Rʿ (Nebnénou Sémenkarê),XIIIe dynastie,ḫȝs.wt - contrées désertiques,,"  • Face 1    
      ◦ Cintre avec un disque solaire aillé. 
      ◦ Le roi tourné vers la gauche porte une coiffure sans retombée de pans latéraux (courante à partie de la seconde moitié de la XIIe dynastie), orné d’un uraeus et vêtu d’un pagne à devanteau d’orfèvrerie (double uraeus). Il présente un vase au dieu Ptah, tourné vers la droite, qui se trouve dans un naos et tient un sceptre ouas. 
  • Face 2
      ◦ Cintre avec un disque solaire aillé.
      ◦ Le roi tourné vers la gauche porte une coiffure sans retombée de pans latéraux orné d’un uraeus et présente un vase à Horus qui, tourné vers la droite, porte un pagne court orné des bandes horizontales contrastantes, tenant un sceptre ouas dans sa main gauche et un signe ankh de sa main droite. Les bras le long du corps. ",,Hiéroglyphes,Titulature royale,Gebel Zeit II - Le matériel inscrit,SA 557 (JE 981237) + SA 556 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20557%20(JE%20981237)%20+%20SA%20556%208a7af3bbbbba4ea3b30ce87a6f7b6873.md),,SA 557 (JE 981237) + SA 556,"Deux fragments de la partie supérieure (raccordés) (SA 557), un fragment de la partie médiane (SA 556)","Fragments 1 et 2 raccordés : H. 12,5 cm (conservée) ; l. 19,5 cm ; ép. 3,6 cm ; fragment 3 : h. 8 cm ; l. 7 cm ; ép. 3,3 cm",Faience bleue,Stèle cintrée. Traits noirs sur fond bleu.,Cintrée
Stèle GZ 1,Stèle,"Gebel Zeit (site 1, surface)",Moyen Empire,"Horus, Maât","Horus, celui qui a élargi le Double-Pays ; Maât fille de Rê",Sḥtp-jb-Rʿ (Séhétépibrê),XIIIe dynastie,,,"Stèle divisée en deux registres. Le registre inférieur consacré à une inscriptions de deux lignes horizontales. le registre supérieur, dont il ne reste plus que la partie gauche, montre un roi tourné vers la droite vêtu d’un pagne court empesé à devanteau d’orfèvrerie et orné d’une d’une queue cérémonielle. Le roi, le bras gauche le long du corps, tient de sa main le signe ankh. Face à lui se tenait une divinité anthropomorphe tourné vers la gauche dont seuls les pieds sont encore présents, ainsi que la hampe d’un sceptre. ",,Hiéroglyphes,"Prière, Texte commémoratif, Titulature royale",Gebel Zeit II - Le matériel inscrit,GZ 1 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/GZ%201%20129726493ae9428fa38629faa7c043c4.md),,GZ 1,Fragment correspondant à la partie inférieure de la stèle.,"(conservée) h. 9,5 cm ; l. 6,9 cm ; ép. 2,2 cm",Basalte noir,Inscription gravée,Inscription gravée
Stèle SA 559,Stèle,"Gebel Zeit (site 1, dépôt du sanctuaire)",DPi,"Hathor, Horus","  • Horus celui de Béhédet ; Seigneur des contrées désertiques ; 
  • Hathor maîtresse de la galène",Swsr-n-Rʿ Bbj-ʿnḫ (Séouserenrê Bébiânkh),XVIe dynastie,ḫȝs.wt (contrées désertiques),,,,Hiéroglyphes,,Gebel Zeit II - Le matériel inscrit,SA 559 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20559%20026441d0947049428f0e4d873971d32d.md),,SA 559,"Presque complète, en deux morceaux ; base manquante.","h. 33,5 cm ; l. 620 cm ; ép. 5 cm",Calcaire,"Stèle cintrée. Figures en bas-relief, hiéroglyphes gravés. Personnages et vêtements en rouge, bleu et blanc sur un fond bleu.",
Stèle SA 305,Stèle,"Gebel Zeit (site 1, niveau antérieur au sanctuaire)","DPi, Incertaine, Moyen Empire",,,,,,,,,,,Gebel Zeit II - Le matériel inscrit,SA 305 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20305%20efbd90bc2375436391620f2c74818e56.md),,SA 305,Fragment de la partie médiane de la stèle. Décor assez effacé.,"(conservée) h. 7,5 cm ; l. 5,5 cm ; ép. 3,5 cm",Faience bleue,Stèle cintrée. Traits noirs sur fond bleu. Inscription recto verso.,
Stèle SA 156,Stèle,"Gebel Zeit (site 1, niveau antérieur au sanctuaire)",Moyen Empire,,,,XIIe ou XIIIe dynastie ?,,,,,Hiéroglyphes,,Gebel Zeit II - Le matériel inscrit,SA 156 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20156%20847c88afe6ab47f49a320f9f70c77adb.md),,SA 156,Minuscule fragment de la partie supérieure (cintre).,"(conservée) h. 3 cm ; l. 3,5 cm ; ép. 1,3 cm",Faience bleue,Verso émaillé. Traits noirs sur fond bleu.,Stèle cintrée. 
Stèle SA 830,Stèle,"Gebel Zeit (site 1, soubassement du sanctuaire)","DPi, Incertaine, Moyen Empire",,,,XIIe - XVIe dynastie ?,,,,,,,Gebel Zeit II - Le matériel inscrit,SA 830 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20830%20fe2fe529d22245429e68a55575ebd5c0.md),,SA 830,Fragment de l’extrémité de la partie médiane. Moitié supérieure droite du cintre.,"(conservée) h. 3,4 cm ; l. 4,5 cm ; ép. 1,5 cm",Faience bleue,"Figures en relief dans le creux et peintes en noir sur fond bleu. Recto : face plate, émail empâté pour la coiffure de la déesse (variation de bleu, bleu-vert, bleu-noir). Verso : non décoré mais émaillé, semble présenter une bordure noire.",
Stèle SA 240,Stèle,"Gebel Zeit (site 1, niveau antérieur au sanctuaire)",Moyen Empire,,,,fin XIIe - XIIIe dynastie ?,ḫȝs.wt (contrées désertiques),,,,Hiéroglyphes,,Gebel Zeit II - Le matériel inscrit,SA 240 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20240%20ab51d95f084049839e57277412665abc.md),,SA 240,Fragment correspondant à l’angle inférieur de la stèle. Décor assez effacé.,"(conservée) h. 7,5 cm ; l. 9,5 cm ; ép. 2,7 cm",Faience bleue,Traits noirs sur fond bleu. Inscription recto verso.,
Stèle SA 547,Stèle,"Gebel Zeit (site 1, niveau antérieur au sanctuaire)","Incertaine, Moyen Empire",,,,fin XIIe - XIIIe dynastie ?,,,,,Hiéroglyphes,,Gebel Zeit II - Le matériel inscrit,SA 547 (Tableau/Branches%20Sp%C3%A9cifiques/Donn%C3%A9es%20Mat%C3%A9rielles/SA%20547%20093f635eb9b8461982a7f68c4e71179b.md),,SA 547,Fragment correspondant à l’angle inférieur de la stèle.,"Fragments de base : h. 3,7 cm ; l. 4 cm ; ép. 1,3 cm ; fragment de cintre conservé : h. 3 cm ; l. 5 cm ; ép. 1,3 cm",Faience bleue,"Signes en relief dans le creux et peints en noir sur fond bleu. Tranche émaillée. Verso non émaillée. Inscription seulement au recto ; surface recto « grumeleuse », non lisse.",Stèle cintrée
